station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161115040,141,312,2017-02-23 03:15:44+00:00,56.00,56.00,False,
1161114050,143,312,2017-02-23 03:15:45+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-23 03:15:47+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-23 03:15:47+00:00,28.00,28.00,False,
1161114045,121,309,2017-02-23 03:15:47+00:00,201.00,200.00,False,
1161115040,141,312,2017-02-23 03:15:48+00:00,56.50,56.00,True,
1161114050,143,312,2017-02-23 03:15:49+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-23 03:15:49+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-23 03:15:49+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-23 03:15:50+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-23 03:15:50+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-23 03:15:51+00:00,28.50,28.00,True,
1161115040,141,312,2017-02-23 03:15:53+00:00,56.00,56.00,False,
1161114050,143,312,2017-02-23 03:15:55+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-23 03:15:56+00:00,28.50,28.00,True,
1161115040,141,312,2017-02-23 03:15:57+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:01+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:01+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 03:16:02+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:02+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 03:16:03+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 03:16:10+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:11+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:11+00:00,56.00,56.00,False,
1161114012,115,306,2017-02-23 03:16:12+00:00,80.00,80.00,False,
1160629000,121,308,2017-02-23 03:16:13+00:00,231.00,230.00,True,
1161115040,141,312,2017-02-23 03:16:14+00:00,56.00,56.00,False,
1161114050,143,312,2017-02-23 03:16:16+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-23 03:16:16+00:00,28.50,28.00,True,
1161115040,141,312,2017-02-23 03:16:18+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 03:16:18+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:20+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 03:16:20+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:20+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:21+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 03:16:22+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:22+00:00,56.00,56.00,False,
1160629000,121,308,2017-02-23 03:16:24+00:00,230.00,230.00,False,
1161115040,141,312,2017-02-23 03:16:24+00:00,56.50,56.00,True,
1161114050,143,312,2017-02-23 03:16:25+00:00,28.00,28.00,False,
1161115040,141,312,2017-02-23 03:16:27+00:00,56.00,56.00,False,
1161114050,143,312,2017-02-23 03:16:28+00:00,28.50,28.00,True,
1161114039,121,309,2017-02-23 03:16:29+00:00,199.00,200.00,True,
1161115040,141,312,2017-02-23 03:16:31+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 03:16:34+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 03:16:35+00:00,56.50,56.00,True,
1160629000,121,308,2017-02-23 03:16:36+00:00,231.00,230.00,True,
1160629000,121,308,2017-02-23 03:16:37+00:00,230.00,230.00,False,
1160629000,121,308,2017-02-23 03:16:37+00:00,230.00,230.00,False,
1161115040,141,312,2017-02-23 03:16:38+00:00,56.00,56.00,False,
1161115010,116,303,2017-02-23 03:16:41+00:00,999999.00,999999.00,False,
1161115010,116,303,2017-02-23 03:16:41+00:00,999999.00,999999.00,True,
