station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161115040,141,312,2017-02-21 22:02:35+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-21 22:02:41+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-21 22:02:42+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-21 22:02:55+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-21 22:02:55+00:00,56.00,56.00,False,
1161115030,121,308,2017-02-21 22:03:01+00:00,241.00,240.00,True,
1161115040,141,312,2017-02-21 22:03:16+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-21 22:03:17+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-21 22:03:25+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-21 22:03:25+00:00,56.50,56.00,True,
1161115030,121,308,2017-02-21 22:03:28+00:00,240.00,240.00,False,
1161114020,121,309,2017-02-21 22:03:35+00:00,197.00,200.00,True,
1161115040,141,312,2017-02-21 22:03:42+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-21 22:03:42+00:00,56.50,56.00,True,
1161115030,121,308,2017-02-21 22:03:43+00:00,241.00,240.00,True,
1161114020,121,309,2017-02-21 22:03:45+00:00,205.00,200.00,False,
1161114050,143,312,2017-02-21 22:03:47+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-21 22:03:47+00:00,28.50,28.00,True,
1161115030,121,308,2017-02-21 22:03:47+00:00,240.00,240.00,False,
1161114077,115,306,2017-02-21 22:03:51+00:00,80.00,80.00,False,
1161114020,111,322,2017-02-21 22:03:51+00:00,30.50,30.00,True,
1161114050,143,312,2017-02-21 22:03:53+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-21 22:03:56+00:00,28.00,28.00,False,
1161114077,115,306,2017-02-21 22:03:56+00:00,80.50,80.00,True,
1161114020,111,322,2017-02-21 22:04:06+00:00,30.00,30.00,False,
1161115040,141,312,2017-02-21 22:04:08+00:00,56.50,56.00,True,
1161114020,111,322,2017-02-21 22:04:09+00:00,30.50,30.00,True,
1161115040,141,312,2017-02-21 22:04:09+00:00,56.00,56.00,False,
1161114077,115,306,2017-02-21 22:04:12+00:00,80.00,80.00,False,
1161115040,141,312,2017-02-21 22:04:15+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-21 22:04:16+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-21 22:04:16+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-21 22:04:16+00:00,56.00,56.00,False,
1161114020,111,322,2017-02-21 22:04:18+00:00,30.00,30.00,False,
1161114032,115,306,2017-02-21 22:04:19+00:00,80.50,80.00,True,
1161115040,141,312,2017-02-21 22:04:20+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-21 22:04:20+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-21 22:04:28+00:00,56.50,56.00,True,
1161115012,121,308,2017-02-21 22:04:30+00:00,241.00,240.00,True,
1161115040,141,312,2017-02-21 22:04:32+00:00,56.00,56.00,False,
1161114050,143,312,2017-02-21 22:04:33+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-21 22:04:33+00:00,28.00,28.00,False,
1161115012,121,308,2017-02-21 22:04:35+00:00,240.00,240.00,False,
1161114020,114,303,2017-02-21 22:04:36+00:00,999999.00,999999.00,True,
1161115040,141,312,2017-02-21 22:04:37+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-21 22:04:37+00:00,56.00,56.00,False,
1161114020,114,303,2017-02-21 22:04:37+00:00,999999.00,999999.00,False,
1161115040,141,312,2017-02-21 22:04:38+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-21 22:04:38+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-21 22:04:38+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-21 22:04:39+00:00,56.00,56.00,False,
1161114050,143,312,2017-02-21 22:04:40+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-21 22:04:40+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-21 22:04:40+00:00,28.50,28.00,True,
1161115040,141,312,2017-02-21 22:04:41+00:00,56.50,56.00,True,
1161114050,143,312,2017-02-21 22:04:41+00:00,28.00,28.00,False,
1161115040,141,312,2017-02-21 22:04:43+00:00,56.00,56.00,False,
1161114050,143,312,2017-02-21 22:04:45+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-21 22:04:46+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-21 22:04:47+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-21 22:04:48+00:00,28.00,28.00,False,
1161114077,115,306,2017-02-21 22:04:53+00:00,80.50,80.00,True,
1161114050,143,312,2017-02-21 22:04:55+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-21 22:04:56+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-21 22:04:57+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-21 22:04:58+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-21 22:04:59+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-21 22:05:03+00:00,28.50,28.00,True,
1161114050,143,312,2017-02-21 22:05:03+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-21 22:05:03+00:00,28.00,28.00,False,
