station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1160629000,143,313,2017-02-20 22:27:15+00:00,25.50,26.00,True,
1161115040,141,312,2017-02-20 22:27:16+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-20 22:27:17+00:00,56.00,56.00,False,
1160629000,121,308,2017-02-20 22:27:20+00:00,230.00,230.00,False,
1161114069,121,308,2017-02-20 22:27:20+00:00,241.00,240.00,True,
1160629000,143,313,2017-02-20 22:27:22+00:00,26.00,26.00,False,
1160629000,143,313,2017-02-20 22:27:23+00:00,26.00,26.00,False,
1160629000,143,313,2017-02-20 22:27:23+00:00,25.50,26.00,True,
1161114069,121,308,2017-02-20 22:27:24+00:00,240.00,240.00,False,
1161114069,121,308,2017-02-20 22:27:25+00:00,241.00,240.00,True,
1161114050,143,312,2017-02-20 22:27:26+00:00,28.00,28.00,False,
1161114069,121,308,2017-02-20 22:27:26+00:00,240.00,240.00,False,
1160629000,143,313,2017-02-20 22:27:26+00:00,25.50,26.00,True,
1161114050,143,312,2017-02-20 22:27:28+00:00,28.00,28.00,False,
1161114050,143,312,2017-02-20 22:27:28+00:00,28.50,28.00,True,
1160629000,121,308,2017-02-20 22:27:29+00:00,231.00,230.00,True,
1161114050,143,312,2017-02-20 22:27:29+00:00,28.50,28.00,True,
1160629000,143,313,2017-02-20 22:27:30+00:00,26.00,26.00,False,
1160629000,143,313,2017-02-20 22:27:31+00:00,25.50,26.00,True,
1161115040,141,312,2017-02-20 22:27:31+00:00,56.00,56.00,False,
1160629000,143,313,2017-02-20 22:27:31+00:00,26.00,26.00,False,
1161115040,141,312,2017-02-20 22:27:31+00:00,56.50,56.00,True,
1160629000,143,313,2017-02-20 22:27:33+00:00,25.50,26.00,True,
1160629000,121,308,2017-02-20 22:27:34+00:00,230.00,230.00,False,
1161114008,121,308,2017-02-20 22:27:35+00:00,240.00,240.00,False,
1161115040,141,312,2017-02-20 22:27:37+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-20 22:27:38+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-20 22:27:38+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-20 22:27:39+00:00,56.00,56.00,False,
1160629000,143,313,2017-02-20 22:27:40+00:00,26.00,26.00,False,
1160629000,143,313,2017-02-20 22:27:40+00:00,25.50,26.00,True,
1160629000,143,313,2017-02-20 22:27:50+00:00,26.00,26.00,False,
1160629000,143,313,2017-02-20 22:27:51+00:00,26.00,26.00,False,
1160629000,143,313,2017-02-20 22:27:51+00:00,25.50,26.00,True,
1161115040,141,312,2017-02-20 22:27:52+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-20 22:27:53+00:00,56.00,56.00,False,
1160629000,143,313,2017-02-20 22:27:55+00:00,25.50,26.00,True,
1160629000,143,313,2017-02-20 22:27:58+00:00,26.00,26.00,False,
1160629000,143,313,2017-02-20 22:27:59+00:00,25.50,26.00,True,
1160629000,143,313,2017-02-20 22:28:00+00:00,26.00,26.00,False,
1160629000,143,313,2017-02-20 22:28:02+00:00,26.00,26.00,False,
1160629000,143,313,2017-02-20 22:28:02+00:00,25.50,26.00,True,
1160629000,143,313,2017-02-20 22:28:03+00:00,25.50,26.00,True,
1161115040,141,312,2017-02-20 22:28:06+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-20 22:28:07+00:00,56.50,56.00,True,
1161115010,121,308,2017-02-20 22:28:07+00:00,241.00,240.00,True,
1160629000,143,313,2017-02-20 22:28:07+00:00,26.00,26.00,False,
1161115040,141,312,2017-02-20 22:28:07+00:00,56.00,56.00,False,
1161114069,121,308,2017-02-20 22:28:07+00:00,241.00,240.00,True,
