station_id,datapoint_id,alarm_id,event_time,value,valueThreshold,isActive,storedtime
1161115040,141,312,2017-02-23 08:37:00+00:00,56.50,56.00,True,
1161114045,121,309,2017-02-23 08:37:04+00:00,199.00,200.00,True,
1161114045,121,309,2017-02-23 08:37:11+00:00,200.00,200.00,False,
1161115038,114,304,2017-02-23 08:37:29+00:00,40.50,40.00,True,
1161114064,122,310,2017-02-23 08:37:32+00:00,30.50,30.00,True,
1161114064,122,310,2017-02-23 08:37:37+00:00,27.50,30.00,False,
1161114005,113,303,2017-02-23 08:37:41+00:00,999999.00,999999.00,False,
1161114049,113,303,2017-02-23 08:37:44+00:00,999999.00,999999.00,False,
1161115029,153,319,2017-02-23 08:37:59+00:00,999991.00,1.00,True,
1161115040,141,312,2017-02-23 08:38:11+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:38:13+00:00,56.50,56.00,True,
1161115029,153,319,2017-02-23 08:38:14+00:00,999990.00,1.00,False,
1161115029,153,319,2017-02-23 08:38:14+00:00,999991.00,1.00,True,
1161115029,153,319,2017-02-23 08:38:17+00:00,999990.00,1.00,False,
1161115013,113,303,2017-02-23 08:38:30+00:00,999999.00,999999.00,True,
1161115008,114,304,2017-02-23 08:38:34+00:00,40.50,40.00,True,
1161115040,141,312,2017-02-23 08:38:48+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:38:49+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:38:49+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 08:38:50+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 08:38:55+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:38:55+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 08:38:56+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:38:57+00:00,56.50,56.00,True,
1161114005,112,320,2017-02-23 08:39:00+00:00,999999.00,999999.00,True,
1161114005,112,320,2017-02-23 08:39:01+00:00,999999.00,999999.00,False,
1161114031,112,303,2017-02-23 08:39:04+00:00,999999.00,999999.00,True,
1161114045,121,309,2017-02-23 08:39:32+00:00,199.00,200.00,True,
1161114045,121,309,2017-02-23 08:39:33+00:00,200.00,200.00,False,
1161115040,141,312,2017-02-23 08:39:44+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:39:44+00:00,56.50,56.00,True,
1161115008,114,304,2017-02-23 08:39:54+00:00,40.00,40.00,False,
1161115040,141,312,2017-02-23 08:39:56+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:39:57+00:00,56.50,56.00,True,
1161115035,114,304,2017-02-23 08:40:09+00:00,38.50,40.00,False,
1161114039,121,309,2017-02-23 08:40:17+00:00,199.00,200.00,True,
1161115040,141,312,2017-02-23 08:40:43+00:00,56.00,56.00,False,
1161114031,112,303,2017-02-23 08:40:44+00:00,999999.00,999999.00,False,
1161115040,141,312,2017-02-23 08:40:44+00:00,56.50,56.00,True,
1161115039,114,304,2017-02-23 08:40:45+00:00,40.50,40.00,True,
1161115029,153,319,2017-02-23 08:40:55+00:00,999991.00,1.00,True,
1161114039,121,309,2017-02-23 08:40:58+00:00,200.00,200.00,False,
1161114039,121,309,2017-02-23 08:40:59+00:00,67.00,200.00,False,
1161114039,121,309,2017-02-23 08:40:59+00:00,199.00,200.00,True,
1161114039,121,301,2017-02-23 08:40:59+00:00,67.00,80.00,True,
1161115029,153,319,2017-02-23 08:41:01+00:00,999990.00,1.00,False,
1161115040,141,312,2017-02-23 08:41:02+00:00,56.00,56.00,False,
1161114013,121,309,2017-02-23 08:41:03+00:00,197.00,200.00,True,
1161115040,141,312,2017-02-23 08:41:05+00:00,56.50,56.00,True,
1161114013,121,309,2017-02-23 08:41:07+00:00,201.00,200.00,False,
1161115029,153,319,2017-02-23 08:41:07+00:00,999991.00,1.00,True,
1161114013,121,309,2017-02-23 08:41:10+00:00,198.00,200.00,True,
1161115018,121,309,2017-02-23 08:41:10+00:00,198.00,200.00,True,
1161114013,121,309,2017-02-23 08:41:11+00:00,200.00,200.00,False,
1161115040,141,312,2017-02-23 08:41:11+00:00,56.00,56.00,False,
1161115029,153,319,2017-02-23 08:41:12+00:00,999990.00,1.00,False,
1161114013,121,309,2017-02-23 08:41:13+00:00,198.00,200.00,True,
1161115040,141,312,2017-02-23 08:41:15+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 08:41:17+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:41:17+00:00,56.50,56.00,True,
1161114013,121,309,2017-02-23 08:41:17+00:00,202.00,200.00,False,
1161114045,114,304,2017-02-23 08:41:18+00:00,40.50,40.00,True,
1161115029,153,319,2017-02-23 08:41:19+00:00,999991.00,1.00,True,
1161114005,121,309,2017-02-23 08:41:23+00:00,200.00,200.00,False,
1161115040,141,312,2017-02-23 08:41:28+00:00,56.00,56.00,False,
1161115029,153,319,2017-02-23 08:41:28+00:00,999990.00,1.00,False,
1161115040,141,312,2017-02-23 08:41:29+00:00,56.50,56.00,True,
1161115031,112,321,2017-02-23 08:41:30+00:00,999999.00,5.00,False,
1161115018,121,309,2017-02-23 08:41:32+00:00,203.00,200.00,False,
1161114045,114,304,2017-02-23 08:41:35+00:00,40.00,40.00,False,
1161115040,141,312,2017-02-23 08:41:35+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:41:35+00:00,56.50,56.00,True,
1161115029,153,319,2017-02-23 08:41:41+00:00,999991.00,1.00,True,
1161115024,121,309,2017-02-23 08:41:42+00:00,194.00,200.00,True,
1161115029,153,319,2017-02-23 08:41:44+00:00,999990.00,1.00,False,
1161115009,121,309,2017-02-23 08:41:44+00:00,200.00,200.00,False,
1161115040,141,312,2017-02-23 08:41:45+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 08:41:45+00:00,56.00,56.00,False,
1161115009,121,309,2017-02-23 08:41:47+00:00,199.00,200.00,True,
1161115029,153,319,2017-02-23 08:41:49+00:00,999991.00,1.00,True,
1161114076,124,309,2017-02-23 08:41:51+00:00,0.00,200.00,False,
1161115029,153,319,2017-02-23 08:41:52+00:00,999990.00,1.00,False,
1161115029,153,319,2017-02-23 08:41:52+00:00,999991.00,1.00,True,
1161114013,121,309,2017-02-23 08:41:54+00:00,198.00,200.00,True,
1161115040,141,312,2017-02-23 08:41:59+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:42:02+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:42:02+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 08:42:03+00:00,56.50,56.00,True,
1161114013,121,309,2017-02-23 08:42:04+00:00,200.00,200.00,False,
1161115029,153,319,2017-02-23 08:42:06+00:00,999990.00,1.00,False,
1161115024,121,309,2017-02-23 08:42:10+00:00,200.00,200.00,False,
1161115040,141,312,2017-02-23 08:42:20+00:00,56.50,56.00,True,
1161115040,141,312,2017-02-23 08:42:20+00:00,56.00,56.00,False,
1161114045,114,304,2017-02-23 08:42:23+00:00,40.50,40.00,True,
1161114039,121,309,2017-02-23 08:42:26+00:00,100.00,200.00,True,
1161114039,121,301,2017-02-23 08:42:26+00:00,100.00,80.00,False,
1161114045,114,304,2017-02-23 08:42:28+00:00,40.00,40.00,False,
1161114045,114,304,2017-02-23 08:42:43+00:00,40.50,40.00,True,
1161115040,141,312,2017-02-23 08:42:46+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:42:48+00:00,56.50,56.00,True,
1161114039,121,309,2017-02-23 08:42:53+00:00,200.00,200.00,False,
1161114045,113,303,2017-02-23 08:42:54+00:00,999999.00,999999.00,True,
1161115040,141,312,2017-02-23 08:42:58+00:00,56.00,56.00,False,
1161115040,141,312,2017-02-23 08:42:59+00:00,56.50,56.00,True,
1161115031,113,303,2017-02-23 08:43:00+00:00,999999.00,999999.00,True,
1161114028,121,309,2017-02-23 08:43:00+00:00,198.00,200.00,True,
1160629000,121,308,2017-02-23 08:43:04+00:00,231.00,230.00,True,
1161115037,121,301,2017-02-23 08:43:04+00:00,0.00,80.00,True,
